<|d/dR|> <|d/dR|>_20 <|d/dR|>_28
2.0548900000e+00 -1.4616439000e+00 3.3020453000e-01
2.0620700000e+00 -1.5423922000e+00 3.4135682000e-01
2.0692500000e+00 -1.6290889000e+00 3.5206512000e-01
2.0764300000e+00 -1.7220655000e+00 3.6235222000e-01
2.0836100000e+00 -1.8216249000e+00 3.7224087000e-01
2.0907900000e+00 -1.9280216000e+00 3.8175366000e-01
2.0979700000e+00 -2.0414373000e+00 3.9091307000e-01
2.1051500000e+00 -2.1619493000e+00 3.9974134000e-01
2.1123400000e+00 -2.2894924000e+00 4.0826033000e-01
2.1195200000e+00 -2.4238135000e+00 4.1649151000e-01
2.1267000000e+00 -2.5644188000e+00 4.2445580000e-01
2.1338800000e+00 -2.7105158000e+00 4.3217346000e-01
2.1410600000e+00 -2.8609539000e+00 4.3966410000e-01
2.1482400000e+00 -3.0141678000e+00 4.4694660000e-01
2.1554200000e+00 -3.1681318000e+00 4.5403929000e-01
2.1626000000e+00 -3.3203364000e+00 4.6096018000e-01
2.1697800000e+00 -3.4677991000e+00 4.6772737000e-01
2.1769600000e+00 -3.6071216000e+00 4.7435986000e-01
2.1841500000e+00 -3.7346041000e+00 4.8087827000e-01
2.1913300000e+00 -3.8464215000e+00 4.8730612000e-01
2.1985100000e+00 -3.9388543000e+00 4.9367099000e-01
2.1986616400e+00 -3.9405719624e+00 4.9380495635e-01
2.1988132800e+00 -3.9422794249e+00 4.9393890987e-01
2.1989649200e+00 -3.9439766613e+00 4.9407285093e-01
2.1991165600e+00 -3.9456636455e+00 4.9420677987e-01
2.1992682000e+00 -3.9473403513e+00 4.9434069704e-01
2.1994198400e+00 -3.9490067527e+00 4.9447460280e-01
2.1995714800e+00 -3.9506628236e+00 4.9460849749e-01
2.1997231200e+00 -3.9523085377e+00 4.9474238147e-01
2.1998747600e+00 -3.9539438692e+00 4.9487625509e-01
2.2000264000e+00 -3.9555687917e+00 4.9501011870e-01
2.2000725000e+00 -3.9560607164e+00 4.9505081258e-01
2.2001185000e+00 -3.9565506120e+00 4.9509141730e-01
2.2001645000e+00 -3.9570395459e+00 4.9513202116e-01
2.2002106000e+00 -3.9575285771e+00 4.9517271242e-01
2.2002566000e+00 -3.9580155833e+00 4.9521331456e-01
2.2003026000e+00 -3.9585016256e+00 4.9525391587e-01
2.2003487000e+00 -3.9589877568e+00 4.9529460460e-01
2.2003947000e+00 -3.9594718671e+00 4.9533520426e-01
2.2004407000e+00 -3.9599550112e+00 4.9537580310e-01
2.2004867000e+00 -3.9604371886e+00 4.9541640114e-01
2.2005328000e+00 -3.9609194435e+00 4.9545708665e-01
2.2005788000e+00 -3.9613996829e+00 4.9549768312e-01
2.2006248000e+00 -3.9618789534e+00 4.9553827881e-01
2.2006709000e+00 -3.9623582929e+00 4.9557896200e-01
2.2007169000e+00 -3.9628356211e+00 4.9561955618e-01
2.2007629000e+00 -3.9633119780e+00 4.9566014963e-01
2.2008090000e+00 -3.9637883955e+00 4.9570083058e-01
2.2008550000e+00 -3.9642628058e+00 4.9574142257e-01
2.2009010000e+00 -3.9647362428e+00 4.9578201384e-01
2.2009471000e+00 -3.9652097317e+00 4.9582269265e-01
2.2009931000e+00 -3.9656812176e+00 4.9586328253e-01
2.2010391000e+00 -3.9661517279e+00 4.9590387173e-01
2.2010852000e+00 -3.9666222816e+00 4.9594454848e-01
2.2011312000e+00 -3.9670908365e+00 4.9598513634e-01
2.2011772000e+00 -3.9675584136e+00 4.9602572355e-01
2.2012233000e+00 -3.9680260256e+00 4.9606639834e-01
2.2012693000e+00 -3.9684916429e+00 4.9610698426e-01
2.2013153000e+00 -3.9689562803e+00 4.9614756957e-01
2.2013614000e+00 -3.9694209439e+00 4.9618824248e-01
2.2014074000e+00 -3.9698836171e+00 4.9622882657e-01
2.2014534000e+00 -3.9703453082e+00 4.9626941005e-01
2.2014994000e+00 -3.9708060164e+00 4.9630999296e-01
2.2015455000e+00 -3.9712667394e+00 4.9635066351e-01
2.2015915000e+00 -3.9717254775e+00 4.9639124527e-01
2.2016375000e+00 -3.9721832307e+00 4.9643182648e-01
2.2016836000e+00 -3.9726409899e+00 4.9647249536e-01
2.2017296000e+00 -3.9730967686e+00 4.9651307549e-01
2.2017756000e+00 -3.9735515601e+00 4.9655365509e-01
2.2018217000e+00 -3.9740063491e+00 4.9659432239e-01
2.2018677000e+00 -3.9744591618e+00 4.9663490096e-01
2.2019137000e+00 -3.9749109850e+00 4.9667547904e-01
2.2019598000e+00 -3.9753627971e+00 4.9671614485e-01
2.2020058000e+00 -3.9758126372e+00 4.9675672197e-01
2.2020518000e+00 -3.9762614856e+00 4.9679729862e-01
2.2020979000e+00 -3.9767103143e+00 4.9683796302e-01
2.2021439000e+00 -3.9771571752e+00 4.9687853876e-01
2.2021899000e+00 -3.9776030423e+00 4.9691911407e-01
2.2022360000e+00 -3.9780488809e+00 4.9695977716e-01
2.2022820000e+00 -3.9784927560e+00 4.9700035162e-01
2.2023280000e+00 -3.9789356352e+00 4.9704092567e-01
2.2023741000e+00 -3.9793784772e+00 4.9708158753e-01
2.2024201000e+00 -3.9798193600e+00 4.9712216080e-01
2.2024661000e+00 -3.9802592447e+00 4.9716273369e-01
2.2025121000e+00 -3.9806981304e+00 4.9720330621e-01
2.2025582000e+00 -3.9811369674e+00 4.9724396657e-01
2.2026042000e+00 -3.9815738510e+00 4.9728453838e-01
2.2026502000e+00 -3.9820097335e+00 4.9732510985e-01
2.2026963000e+00 -3.9824455584e+00 4.9736576919e-01
2.2027423000e+00 -3.9828794344e+00 4.9740634001e-01
2.2027883000e+00 -3.9833123070e+00 4.9744691052e-01
2.2028344000e+00 -3.9837451134e+00 4.9748756893e-01
2.2028804000e+00 -3.9841759752e+00 4.9752813885e-01
2.2029264000e+00 -3.9846058314e+00 4.9756870849e-01
2.2029725000e+00 -3.9850356127e+00 4.9760936606e-01
2.2030185000e+00 -3.9854634536e+00 4.9764993516e-01
2.2030645000e+00 -3.9858902869e+00 4.9769050402e-01
2.2031106000e+00 -3.9863170364e+00 4.9773116083e-01
2.2031566000e+00 -3.9867418500e+00 4.9777172922e-01
2.2032026000e+00 -3.9871656537e+00 4.9781229738e-01
2.2032487000e+00 -3.9875893649e+00 4.9785295353e-01
2.2032947000e+00 -3.9880111446e+00 4.9789352128e-01
2.2033407000e+00 -3.9884319122e+00 4.9793408883e-01
2.2033868000e+00 -3.9888525785e+00 4.9797474440e-01
2.2034328000e+00 -3.9892713177e+00 4.9801531160e-01
2.2034788000e+00 -3.9896890426e+00 4.9805587864e-01
2.2035248000e+00 -3.9901057526e+00 4.9809644553e-01
2.2035709000e+00 -3.9905223495e+00 4.9813710047e-01
2.2036169000e+00 -3.9909370252e+00 4.9817766708e-01
2.2036629000e+00 -3.9913506837e+00 4.9821823357e-01
2.2037090000e+00 -3.9917642204e+00 4.9825888813e-01
2.2037550000e+00 -3.9921758402e+00 4.9829945440e-01
2.2038010000e+00 -3.9925864408e+00 4.9834002058e-01
2.2038471000e+00 -3.9929969105e+00 4.9838067486e-01
2.2038931000e+00 -3.9934054680e+00 4.9842124087e-01
2.2039391000e+00 -3.9938130040e+00 4.9846180683e-01
2.2039852000e+00 -3.9942204003e+00 4.9850246092e-01
2.2040312000e+00 -3.9946258888e+00 4.9854302677e-01
2.2040772000e+00 -3.9950303536e+00 4.9858359259e-01
2.2041233000e+00 -3.9954346699e+00 4.9862424657e-01
2.2041693000e+00 -3.9958370829e+00 4.9866481235e-01
2.2042153000e+00 -3.9962384700e+00 4.9870537812e-01
2.2042614000e+00 -3.9966396997e+00 4.9874603209e-01
2.2043074000e+00 -3.9970390305e+00 4.9878659788e-01
2.2043534000e+00 -3.9974373333e+00 4.9882716370e-01
2.2043995000e+00 -3.9978354698e+00 4.9886781773e-01
2.2044455000e+00 -3.9982317120e+00 4.9890838363e-01
2.2044915000e+00 -3.9986269240e+00 4.9894894957e-01
2.2045375000e+00 -3.9990211049e+00 4.9898951558e-01
2.2045836000e+00 -3.9994151076e+00 4.9903016985e-01
2.2046296000e+00 -3.9998072221e+00 4.9907073602e-01
2.2046756000e+00 -4.0001983034e+00 4.9911130228e-01
2.2047217000e+00 -4.0005891976e+00 4.9915195683e-01
2.2047677000e+00 -4.0009782081e+00 4.9919252330e-01
2.2048137000e+00 -4.0013661833e+00 4.9923308990e-01
2.2048598000e+00 -4.0017539623e+00 4.9927374481e-01
2.2049058000e+00 -4.0021398622e+00 4.9931431168e-01
2.2049518000e+00 -4.0025247246e+00 4.9935487870e-01
2.2049979000e+00 -4.0029093819e+00 4.9939553408e-01
2.2050439000e+00 -4.0032921647e+00 4.9943610143e-01
2.2050899000e+00 -4.0036739077e+00 4.9947666897e-01
2.2051360000e+00 -4.0040554367e+00 4.9951732488e-01
2.2051820000e+00 -4.0044350958e+00 4.9955789281e-01
2.2052280000e+00 -4.0048137129e+00 4.9959846095e-01
2.2052741000e+00 -4.0051921071e+00 4.9963911750e-01
2.2053201000e+00 -4.0055686358e+00 4.9967968608e-01
2.2053661000e+00 -4.0059441205e+00 4.9972025491e-01
2.2054122000e+00 -4.0063193731e+00 4.9976091218e-01
2.2054582000e+00 -4.0066927651e+00 4.9980148152e-01
2.2055042000e+00 -4.0070651107e+00 4.9984205113e-01
2.2055502000e+00 -4.0074364092e+00 4.9988262101e-01
2.2055963000e+00 -4.0078074638e+00 4.9992327938e-01
2.2056423000e+00 -4.0081766638e+00 4.9996384986e-01
2.2056883000e+00 -4.0085448145e+00 5.0000442064e-01
2.2057344000e+00 -4.0089127123e+00 5.0004507994e-01
2.2057804000e+00 -4.0092787604e+00 5.0008565137e-01
2.2058264000e+00 -4.0096437575e+00 5.0012622315e-01
2.2058725000e+00 -4.0100084933e+00 5.0016688348e-01
2.2059185000e+00 -4.0103713849e+00 5.0020745598e-01
2.2059645000e+00 -4.0107332241e+00 5.0024802886e-01
2.2060106000e+00 -4.0110947937e+00 5.0028869034e-01
2.2060566000e+00 -4.0114545244e+00 5.0032926402e-01
2.2061026000e+00 -4.0118132014e+00 5.0036983812e-01
2.2061487000e+00 -4.0121716003e+00 5.0041050085e-01
2.2061947000e+00 -4.0125281660e+00 5.0045107583e-01
2.2062407000e+00 -4.0128836764e+00 5.0049165126e-01
2.2062868000e+00 -4.0132389004e+00 5.0053231536e-01
2.2063328000e+00 -4.0135922966e+00 5.0057289174e-01
2.2063788000e+00 -4.0139446361e+00 5.0061346861e-01
2.2064249000e+00 -4.0142966810e+00 5.0065413420e-01
2.2064709000e+00 -4.0146469034e+00 5.0069471209e-01
2.2065169000e+00 -4.0149960678e+00 5.0073529052e-01
2.2065629000e+00 -4.0153441735e+00 5.0077586949e-01
2.2066090000e+00 -4.0156919735e+00 5.0081653723e-01
2.2066550000e+00 -4.0160379584e+00 5.0085711732e-01
2.2067010000e+00 -4.0163828832e+00 5.0089769800e-01
2.2067471000e+00 -4.0167274939e+00 5.0093836748e-01
2.2067931000e+00 -4.0170702949e+00 5.0097894935e-01
2.2068391000e+00 -4.0174120345e+00 5.0101953184e-01
2.2068852000e+00 -4.0177534517e+00 5.0106020319e-01
2.2069312000e+00 -4.0180930646e+00 5.0110078695e-01
2.2069772000e+00 -4.0184316147e+00 5.0114137137e-01
2.2070233000e+00 -4.0187698339e+00 5.0118204469e-01
2.2070693000e+00 -4.0191062544e+00 5.0122263046e-01
2.2071153000e+00 -4.0194416106e+00 5.0126321692e-01
2.2071614000e+00 -4.0197766276e+00 5.0130389232e-01
2.2072074000e+00 -4.0201098514e+00 5.0134448020e-01
2.2072534000e+00 -4.0204420095e+00 5.0138506882e-01
2.2072995000e+00 -4.0207738199e+00 5.0142574641e-01
2.2073455000e+00 -4.0211038427e+00 5.0146633653e-01
2.2073915000e+00 -4.0214327983e+00 5.0150692741e-01
2.2074376000e+00 -4.0217613979e+00 5.0154760731e-01
2.2074836000e+00 -4.0220882153e+00 5.0158819977e-01
2.2075296000e+00 -4.0224139642e+00 5.0162879303e-01
2.2075756000e+00 -4.0227386439e+00 5.0166938710e-01
2.2076217000e+00 -4.0230629564e+00 5.0171007026e-01
2.2076677000e+00 -4.0233854941e+00 5.0175066601e-01
2.2077137000e+00 -4.0237069614e+00 5.0179126262e-01
2.2077598000e+00 -4.0240280529e+00 5.0183194835e-01
2.2078058000e+00 -4.0243473753e+00 5.0187254670e-01
2.2078518000e+00 -4.0246656257e+00 5.0191314595e-01
2.2078979000e+00 -4.0249834920e+00 5.0195383436e-01
2.2079439000e+00 -4.0252995947e+00 5.0199443543e-01
2.2079899000e+00 -4.0256146240e+00 5.0203503743e-01
2.2080360000e+00 -4.0259292607e+00 5.0207572864e-01
2.2080820000e+00 -4.0262421394e+00 5.0211633254e-01
2.2081280000e+00 -4.0265539433e+00 5.0215693740e-01
2.2081741000e+00 -4.0268653461e+00 5.0219763152e-01
2.2082201000e+00 -4.0271749965e+00 5.0223823836e-01
2.2082661000e+00 -4.0274835706e+00 5.0227884620e-01
2.2083122000e+00 -4.0277917353e+00 5.0231954334e-01
2.2083582000e+00 -4.0280981531e+00 5.0236015324e-01
2.2084042000e+00 -4.0284034931e+00 5.0240076417e-01
2.2084502000e+00 -4.0287077550e+00 5.0244137616e-01
2.2084963000e+00 -4.0290115961e+00 5.0248207750e-01
2.2085423000e+00 -4.0293136978e+00 5.0252269164e-01
2.2085883000e+00 -4.0296147199e+00 5.0256330686e-01
2.2086344000e+00 -4.0299153128e+00 5.0260401149e-01
2.2086804000e+00 -4.0302141718e+00 5.0264462894e-01
2.2087264000e+00 -4.0305119498e+00 5.0268524752e-01
2.2087725000e+00 -4.0308092901e+00 5.0272595555e-01
2.2088185000e+00 -4.0311049022e+00 5.0276657643e-01
2.2088645000e+00 -4.0313994317e+00 5.0280719847e-01
2.2089106000e+00 -4.0316935151e+00 5.0284791001e-01
2.2089566000e+00 -4.0319858759e+00 5.0288853443e-01
2.2090026000e+00 -4.0322771528e+00 5.0292916005e-01
2.2090487000e+00 -4.0325679749e+00 5.0296987521e-01
2.2090947000e+00 -4.0328570802e+00 5.0301050328e-01
2.2091407000e+00 -4.0331451000e+00 5.0305113259e-01
2.2091868000e+00 -4.0334326566e+00 5.0309185148e-01
2.2092328000e+00 -4.0337185020e+00 5.0313248332e-01
2.2092788000e+00 -4.0340032605e+00 5.0317311643e-01
2.2093249000e+00 -4.0342875472e+00 5.0321383917e-01
2.2093709000e+00 -4.0345701284e+00 5.0325447488e-01
2.2094169000e+00 -4.0348516213e+00 5.0329511191e-01
2.2094629000e+00 -4.0351320255e+00 5.0333575027e-01
2.2095090000e+00 -4.0354119465e+00 5.0337647831e-01
2.2095550000e+00 -4.0356901694e+00 5.0341711937e-01
2.2096010000e+00 -4.0359673023e+00 5.0345776179e-01
2.2096471000e+00 -4.0362439434e+00 5.0349849394e-01
2.2096931000e+00 -4.0365188921e+00 5.0353913914e-01
2.2097391000e+00 -4.0367927492e+00 5.0357978573e-01
2.2097852000e+00 -4.0370661061e+00 5.0362052211e-01
2.2098312000e+00 -4.0373377762e+00 5.0366117156e-01
2.2098772000e+00 -4.0376083534e+00 5.0370182244e-01
2.2099233000e+00 -4.0378784217e+00 5.0374256316e-01
2.2099693000e+00 -4.0381468090e+00 5.0378321697e-01
2.2100153000e+00 -4.0384141018e+00 5.0382387225e-01
2.2100614000e+00 -4.0386808772e+00 5.0386461742e-01
2.2101074000e+00 -4.0389459773e+00 5.0390527570e-01
2.2101534000e+00 -4.0392099816e+00 5.0394593550e-01
2.2101995000e+00 -4.0394734598e+00 5.0398668522e-01
2.2102455000e+00 -4.0397352685e+00 5.0402734810e-01
2.2102915000e+00 -4.0399959798e+00 5.0406801252e-01
2.2103376000e+00 -4.0402561565e+00 5.0410876692e-01
2.2103836000e+00 -4.0405146694e+00 5.0414943449e-01
2.2104296000e+00 -4.0407720835e+00 5.0419010366e-01
2.2104756000e+00 -4.0410283984e+00 5.0423077442e-01
2.2105217000e+00 -4.0412841672e+00 5.0427153523e-01
2.2105677000e+00 -4.0415382797e+00 5.0431220924e-01
2.2106137000e+00 -4.0417912917e+00 5.0435288490e-01
2.2106598000e+00 -4.0420437489e+00 5.0439365063e-01
2.2107058000e+00 -4.0422945556e+00 5.0443432961e-01
2.2107518000e+00 -4.0425442603e+00 5.0447501027e-01
2.2107979000e+00 -4.0427934016e+00 5.0451578105e-01
2.2108439000e+00 -4.0430408982e+00 5.0455646511e-01
2.2108899000e+00 -4.0432872913e+00 5.0459715088e-01
2.2109360000e+00 -4.0435331124e+00 5.0463792682e-01
2.2109820000e+00 -4.0437772945e+00 5.0467861606e-01
2.2110280000e+00 -4.0440203717e+00 5.0471930706e-01
2.2110741000e+00 -4.0442628683e+00 5.0476008828e-01
2.2111201000e+00 -4.0445037317e+00 5.0480078282e-01
2.2111661000e+00 -4.0447434887e+00 5.0484147915e-01
2.2112122000e+00 -4.0449826564e+00 5.0488226576e-01
2.2112582000e+00 -4.0452201968e+00 5.0492296571e-01
2.2113042000e+00 -4.0454566293e+00 5.0496366749e-01
2.2113503000e+00 -4.0456924638e+00 5.0500445960e-01
2.2113963000e+00 -4.0459266768e+00 5.0504516508e-01
2.2114423000e+00 -4.0461597805e+00 5.0508587242e-01
2.2114883000e+00 -4.0463917744e+00 5.0512658164e-01
2.2115344000e+00 -4.0466231588e+00 5.0516738126e-01
2.2115804000e+00 -4.0468529294e+00 5.0520809427e-01
2.2116264000e+00 -4.0470815888e+00 5.0524880921e-01
2.2116725000e+00 -4.0473096300e+00 5.0528961458e-01
2.2117185000e+00 -4.0475360632e+00 5.0533033339e-01
2.2117645000e+00 -4.0477613837e+00 5.0537105414e-01
2.2118106000e+00 -4.0479860774e+00 5.0541186539e-01
2.2118566000e+00 -4.0482091688e+00 5.0545259010e-01
2.2119026000e+00 -4.0484311462e+00 5.0549331679e-01
2.2119487000e+00 -4.0486524879e+00 5.0553413403e-01
2.2119947000e+00 -4.0488722333e+00 5.0557486474e-01
2.2120407000e+00 -4.0490908633e+00 5.0561559749e-01
2.2120868000e+00 -4.0493088488e+00 5.0565642082e-01
2.2121328000e+00 -4.0495252439e+00 5.0569715766e-01
2.2121788000e+00 -4.0497405220e+00 5.0573789657e-01
2.2122249000e+00 -4.0499551471e+00 5.0577872612e-01
2.2122709000e+00 -4.0501681875e+00 5.0581946919e-01
2.2123169000e+00 -4.0503801096e+00 5.0586021437e-01
2.2123630000e+00 -4.0505913698e+00 5.0590105024e-01
2.2124090000e+00 -4.0508010513e+00 5.0594179967e-01
2.2124550000e+00 -4.0510096129e+00 5.0598255123e-01
2.2125010000e+00 -4.0512170543e+00 5.0602330495e-01
2.2125471000e+00 -4.0514238222e+00 5.0606414943e-01
2.2125931000e+00 -4.0516290192e+00 5.0610490749e-01
2.2126391000e+00 -4.0518330945e+00 5.0614566774e-01
2.2126852000e+00 -4.0520364875e+00 5.0618651881e-01
2.2127312000e+00 -4.0522383154e+00 5.0622728348e-01
2.2127772000e+00 -4.0524390203e+00 5.0626805038e-01
2.2128233000e+00 -4.0526390341e+00 5.0630890815e-01
2.2128693000e+00 -4.0528374887e+00 5.0634967955e-01
2.2129153000e+00 -4.0530348188e+00 5.0639045321e-01
2.2129614000e+00 -4.0532314495e+00 5.0643131779e-01
2.2130074000e+00 -4.0534265274e+00 5.0647209603e-01
2.2130534000e+00 -4.0536204801e+00 5.0651287657e-01
2.2130995000e+00 -4.0538137254e+00 5.0655374810e-01
2.2131455000e+00 -4.0540054248e+00 5.0659453331e-01
2.2131915000e+00 -4.0541959984e+00 5.0663532086e-01
2.2132376000e+00 -4.0543858567e+00 5.0667619946e-01
2.2132836000e+00 -4.0545741758e+00 5.0671699176e-01
2.2133296000e+00 -4.0547613686e+00 5.0675778646e-01
2.2133757000e+00 -4.0549478380e+00 5.0679867225e-01
2.2134217000e+00 -4.0551327751e+00 5.0683947178e-01
2.2134677000e+00 -4.0553165852e+00 5.0688027374e-01
2.2135137000e+00 -4.0554992682e+00 5.0692107816e-01
2.2135598000e+00 -4.0556812174e+00 5.0696197375e-01
2.2136058000e+00 -4.0558616432e+00 5.0700278311e-01
2.2136518000e+00 -4.0560409412e+00 5.0704359496e-01
2.2136979000e+00 -4.0562194975e+00 5.0708449805e-01
2.2137439000e+00 -4.0563965371e+00 5.0712531493e-01
2.2137899000e+00 -4.0565724484e+00 5.0716613435e-01
2.2138360000e+00 -4.0567476100e+00 5.0720704507e-01
2.2138820000e+00 -4.0569212618e+00 5.0724786961e-01
2.2139280000e+00 -4.0570937847e+00 5.0728869672e-01
2.2139741000e+00 -4.0572655499e+00 5.0732961520e-01
2.2140201000e+00 -4.0574358120e+00 5.0737044751e-01
2.2140661000e+00 -4.0576049446e+00 5.0741128245e-01
2.2141122000e+00 -4.0577733117e+00 5.0745220881e-01
2.2141582000e+00 -4.0579401824e+00 5.0749304904e-01
2.2142042000e+00 -4.0581059231e+00 5.0753389193e-01
2.2142503000e+00 -4.0582708902e+00 5.0757482630e-01
2.2142963000e+00 -4.0584343678e+00 5.0761567456e-01
2.2143423000e+00 -4.0585967148e+00 5.0765652554e-01
2.2143884000e+00 -4.0587582802e+00 5.0769746805e-01
2.2144344000e+00 -4.0589183629e+00 5.0773832448e-01
2.2144804000e+00 -4.0590773144e+00 5.0777918366e-01
2.2145264000e+00 -4.0592351345e+00 5.0782004560e-01
2.2145725000e+00 -4.0593921624e+00 5.0786099916e-01
2.2146185000e+00 -4.0595477167e+00 5.0790186668e-01
2.2146645000e+00 -4.0597021390e+00 5.0794273701e-01
2.2147106000e+00 -4.0598557612e+00 5.0798369901e-01
2.2147566000e+00 -4.0600079165e+00 5.0802457499e-01
2.2148026000e+00 -4.0601589392e+00 5.0806545383e-01
2.2148487000e+00 -4.0603091538e+00 5.0810642440e-01
2.2148947000e+00 -4.0604579084e+00 5.0814730897e-01
2.2149407000e+00 -4.0606055298e+00 5.0818819644e-01
2.2149868000e+00 -4.0607523352e+00 5.0822917571e-01
2.2150328000e+00 -4.0608976872e+00 5.0827006901e-01
2.2150788000e+00 -4.0610419056e+00 5.0831096524e-01
2.2151249000e+00 -4.0611852999e+00 5.0835195334e-01
2.2151709000e+00 -4.0613272477e+00 5.0839285549e-01
2.2152169000e+00 -4.0614680613e+00 5.0843376061e-01
2.2152630000e+00 -4.0616080428e+00 5.0847475766e-01
2.2153090000e+00 -4.0617465846e+00 5.0851566879e-01
2.2153550000e+00 -4.0618839916e+00 5.0855658294e-01
2.2154011000e+00 -4.0620205585e+00 5.0859758907e-01
2.2154471000e+00 -4.0621556927e+00 5.0863850931e-01
2.2154931000e+00 -4.0622896913e+00 5.0867943260e-01
2.2155391000e+00 -4.0624225543e+00 5.0872035897e-01
2.2155852000e+00 -4.0625545666e+00 5.0876137742e-01
2.2156312000e+00 -4.0626851552e+00 5.0880230999e-01
2.2156772000e+00 -4.0628146075e+00 5.0884324568e-01
2.2157233000e+00 -4.0629432011e+00 5.0888427351e-01
2.2157693000e+00 -4.0630703778e+00 5.0892521549e-01
2.2158153000e+00 -4.0631964178e+00 5.0896616063e-01
2.2158614000e+00 -4.0633215909e+00 5.0900719797e-01
2.2159074000e+00 -4.0634453541e+00 5.0904814948e-01
2.2159534000e+00 -4.0635679799e+00 5.0908910420e-01
2.2159995000e+00 -4.0636897309e+00 5.0913015118e-01
2.2160455000e+00 -4.0638100788e+00 5.0917111235e-01
2.2160915000e+00 -4.0639292886e+00 5.0921207678e-01
2.2161376000e+00 -4.0640476157e+00 5.0925313353e-01
2.2161836000e+00 -4.0641645465e+00 5.0929410449e-01
2.2162296000e+00 -4.0642803386e+00 5.0933507875e-01
2.2162757000e+00 -4.0643952400e+00 5.0937614539e-01
2.2163217000e+00 -4.0645087520e+00 5.0941712628e-01
2.2163677000e+00 -4.0646211247e+00 5.0945811050e-01
2.2164137000e+00 -4.0647323581e+00 5.0949909806e-01
2.2164598000e+00 -4.0648426900e+00 5.0954017810e-01
2.2165058000e+00 -4.0649516416e+00 5.0958117241e-01
2.2165518000e+00 -4.0650594533e+00 5.0962217011e-01
2.2165979000e+00 -4.0651663554e+00 5.0966326034e-01
2.2166439000e+00 -4.0652718841e+00 5.0970426487e-01
2.2166899000e+00 -4.0653762722e+00 5.0974527283e-01
2.2167360000e+00 -4.0654797428e+00 5.0978637339e-01
2.2167820000e+00 -4.0655818468e+00 5.0982738826e-01
2.2168280000e+00 -4.0656828097e+00 5.0986840661e-01
2.2168741000e+00 -4.0657828470e+00 5.0990951763e-01
2.2169201000e+00 -4.0658815246e+00 5.0995054297e-01
2.2169661000e+00 -4.0659790604e+00 5.0999157184e-01
2.2170122000e+00 -4.0660756627e+00 5.1003269344e-01
2.2170582000e+00 -4.0661709121e+00 5.1007372939e-01
2.2171042000e+00 -4.0662650192e+00 5.1011476890e-01
2.2171503000e+00 -4.0663581846e+00 5.1015590121e-01
2.2171963000e+00 -4.0664500041e+00 5.1019694789e-01
2.2172423000e+00 -4.0665406807e+00 5.1023799817e-01
2.2172884000e+00 -4.0666304076e+00 5.1027914133e-01
2.2173344000e+00 -4.0667187954e+00 5.1032019887e-01
2.2173804000e+00 -4.0668060397e+00 5.1036126005e-01
2.2174264000e+00 -4.0668921403e+00 5.1040232490e-01
2.2174725000e+00 -4.0669772806e+00 5.1044348270e-01
2.2175185000e+00 -4.0670610909e+00 5.1048455492e-01
2.2175645000e+00 -4.0671437569e+00 5.1052563084e-01
2.2176106000e+00 -4.0672254545e+00 5.1056679978e-01
2.2176566000e+00 -4.0673058291e+00 5.1060788315e-01
2.2177026000e+00 -4.0673850588e+00 5.1064897027e-01
2.2177487000e+00 -4.0674633120e+00 5.1069015049e-01
